2.55861   1.37595
2.76886   1.27008
2.91088   1.21635
2.75976   1.29298
2.65283   1.33309
2.43604   1.45024
2.67430   1.31521
2.71528   1.28464
2.87134   1.25781
2.40135   1.44668
2.75349   1.27663
2.61066   1.34400
2.54217   1.40827
2.58481   1.34786
2.59705   1.35752
2.80892   1.25596
2.53130   1.40685
2.70408   1.29119
2.65801   1.34631
2.64713   1.33905
2.71055   1.25756
2.39986   1.45941
2.69324   1.33062
2.67918   1.31529
2.65367   1.33307
2.61804   1.33701
2.54100   1.37882
2.60169   1.34252
2.56720   1.36966
2.53300   1.45177
2.57688   1.39618
2.83558   1.25551
2.56930   1.36415
2.60828   1.32661
2.40956   1.44608
2.68629   1.31434
2.74192   1.26205
2.76800   1.30345
2.58186   1.37561
2.88577   1.25924
2.51382   1.39152
2.61674   1.34075
2.19940   1.64142
2.59910   1.31321
2.66222   1.28494
2.69008   1.30203
2.56500   1.36180
2.65502   1.33809
2.66905   1.29848
2.88219   1.20500
2.61861   1.39639
2.79851   1.23426
2.66281   1.37074
2.32879   1.47328
2.64017   1.38049
2.60756   1.35452
2.45982   1.41024
2.52268   1.39435
2.73291   1.29443
2.92075   1.16788
2.53327   1.37019
2.74936   1.35991
2.73871   1.29994
2.49752   1.41615
2.58824   1.40217
2.56799   1.34903
2.83125   1.27768
2.70059   1.30503
2.85103   1.24349
2.43514   1.41285
2.61966   1.33837
2.45948   1.44768
2.56115   1.32591
2.68638   1.32638
2.58312   1.37823
2.65704   1.31375
2.72457   1.29282
2.47181   1.41650
2.72981   1.29306
2.30338   1.53171
2.85727   1.23136
2.87881   1.23887
2.80707   1.24552
2.74585   1.30859
2.71370   1.28171
2.50838   1.38343
2.64700   1.34499
2.59920   1.32256
2.45280   1.43897
2.53619   1.39024
2.68336   1.32070
2.84280   1.27377
2.69578   1.32868
2.62174   1.36026
2.71793   1.28096
2.37546   1.46280
2.55017   1.39058
2.47584   1.40912
2.70414   1.30209
2.70702   1.31701
2.61446   1.32517
2.78072   1.24573
2.70098   1.29127
2.54689   1.36895
2.98762   1.14585
2.60210   1.33091
2.43672   1.39680
2.54590   1.39286
2.51375   1.38835
2.44408   1.45627
2.56891   1.36336
2.69998   1.28150
2.65266   1.35477
2.61406   1.29719
2.58348   1.34411
2.59012   1.39206
2.58685   1.34282
2.75892   1.26289
2.65068   1.31795
2.47942   1.42067
2.54153   1.36740
